497,"170726154044","Time",0
498,.169,"mS        ",1
499,11.8,"DEGREE C  ",2
500,"170726154046","Time",0
501,.168,"mS        ",1
502,11.8,"DEGREE C  ",2
503,"170726154048","Time",0
504,.167,"mS        ",1
505,11.8,"DEGREE C  ",2
506,"170726154050","Time",0
507,.166,"mS        ",1
508,11.8,"DEGREE C  ",2
509,"170726154052","Time",0
510,.166,"mS        ",1
511,11.8,"DEGREE C  ",2
512,"170726154054","Time",0
513,.166,"mS        ",1
514,11.8,"DEGREE C  ",2
515,"170726154056","Time",0
516,.165,"mS        ",1
517,11.8,"DEGREE C  ",2
518,"170726154058","Time",0
519,.164,"mS        ",1
520,11.8,"DEGREE C  ",2
521,"170726154100","Time",0
522,.163,"mS        ",1
523,11.8,"DEGREE C  ",2
524,"170726154102","Time",0
525,.163,"mS        ",1
526,11.8,"DEGREE C  ",2
527,"170726154104","Time",0
528,.163,"mS        ",1
529,11.8,"DEGREE C  ",2
530,"170726154106","Time",0
531,.163,"mS        ",1
532,11.8,"DEGREE C  ",2
533,"170726154108","Time",0
534,.162,"mS        ",1
535,11.8,"DEGREE C  ",2
536,"170726154110","Time",0
537,.162,"mS        ",1
538,11.9,"DEGREE C  ",2
539,"170726154112","Time",0
540,.161,"mS        ",1
541,11.9,"DEGREE C  ",2
542,"170726154114","Time",0
543,.161,"mS        ",1
544,11.8,"DEGREE C  ",2
545,"170726154116","Time",0
546,.161,"mS        ",1
547,11.8,"DEGREE C  ",2
548,"170726154118","Time",0
549,.161,"mS        ",1
550,11.8,"DEGREE C  ",2
551,"170726154120","Time",0
552,.16,"mS        ",1
553,11.8,"DEGREE C  ",2
554,"170726154122","Time",0
555,.16,"mS        ",1
556,11.8,"DEGREE C  ",2
557,"170726154124","Time",0
558,.159,"mS        ",1
559,11.8,"DEGREE C  ",2
560,"170726154126","Time",0
561,.159,"mS        ",1
562,11.8,"DEGREE C  ",2
563,"170726154128","Time",0
564,.16,"mS        ",1
565,11.8,"DEGREE C  ",2
566,"170726154130","Time",0
567,.159,"mS        ",1
568,11.8,"DEGREE C  ",2
569,"170726154132","Time",0
570,.159,"mS        ",1
571,11.8,"DEGREE C  ",2
572,"170726154134","Time",0
573,.159,"mS        ",1
574,11.8,"DEGREE C  ",2
575,"170726154136","Time",0
576,.159,"mS        ",1
577,11.8,"DEGREE C  ",2
578,"170726154138","Time",0
579,.158,"mS        ",1
580,11.8,"DEGREE C  ",2
581,"170726154140","Time",0
582,.158,"mS        ",1
583,11.9,"DEGREE C  ",2
584,"170726154142","Time",0
585,.158,"mS        ",1
586,11.9,"DEGREE C  ",2
587,"170726154144","Time",0
588,.158,"mS        ",1
589,11.9,"DEGREE C  ",2
590,"170726154146","Time",0
591,.157,"mS        ",1
592,11.9,"DEGREE C  ",2
593,"170726154148","Time",0
594,.157,"mS        ",1
595,11.9,"DEGREE C  ",2
596,"170726154150","Time",0
597,.156,"mS        ",1
598,11.9,"DEGREE C  ",2
599,"170726154152","Time",0
600,.156,"mS        ",1
601,11.9,"DEGREE C  ",2
602,"170726154154","Time",0
603,.156,"mS        ",1
604,11.9,"DEGREE C  ",2
605,"170726154156","Time",0
606,.156,"mS        ",1
607,11.9,"DEGREE C  ",2
608,"170726154158","Time",0
609,.156,"mS        ",1
610,12,"DEGREE C  ",2
611,"170726154200","Time",0
612,.156,"mS        ",1
613,12,"DEGREE C  ",2
614,"170726154202","Time",0
615,.155,"mS        ",1
616,12,"DEGREE C  ",2
617,"170726154204","Time",0
618,.155,"mS        ",1
619,12,"DEGREE C  ",2
620,"170726154206","Time",0
621,.155,"mS        ",1
622,12,"DEGREE C  ",2
623,"170726154208","Time",0
624,.155,"mS        ",1
625,12,"DEGREE C  ",2
626,"170726154210","Time",0
627,.155,"mS        ",1
628,12,"DEGREE C  ",2
629,"170726154212","Time",0
630,.155,"mS        ",1
631,12,"DEGREE C  ",2
632,"170726154214","Time",0
633,.155,"mS        ",1
634,12,"DEGREE C  ",2
635,"170726154216","Time",0
636,.154,"mS        ",1
637,12,"DEGREE C  ",2
638,"170726154218","Time",0
639,.154,"mS        ",1
640,12,"DEGREE C  ",2
641,"170726154220","Time",0
642,.154,"mS        ",1
643,12,"DEGREE C  ",2
644,"170726154222","Time",0
645,.153,"mS        ",1
646,12.1,"DEGREE C  ",2
647,"170726154224","Time",0
648,.153,"mS        ",1
649,12.1,"DEGREE C  ",2
650,"170726154226","Time",0
651,.153,"mS        ",1
652,12.1,"DEGREE C  ",2
653,"170726154228","Time",0
654,.153,"mS        ",1
655,12.1,"DEGREE C  ",2
656,"170726154230","Time",0
657,.153,"mS        ",1
658,12.1,"DEGREE C  ",2
659,"170726154232","Time",0
660,.153,"mS        ",1
661,12,"DEGREE C  ",2
662,"170726154234","Time",0
663,.153,"mS        ",1
664,12.1,"DEGREE C  ",2
665,"170726154236","Time",0
666,.153,"mS        ",1
667,12.1,"DEGREE C  ",2
668,"170726154238","Time",0
669,.152,"mS        ",1
670,12.1,"DEGREE C  ",2
671,"170726154240","Time",0
672,.152,"mS        ",1
673,12.1,"DEGREE C  ",2
674,"170726154242","Time",0
675,.152,"mS        ",1
676,12.1,"DEGREE C  ",2
677,"170726154244","Time",0
678,.152,"mS        ",1
679,12.2,"DEGREE C  ",2
680,"170726154246","Time",0
681,.152,"mS        ",1
682,12.2,"DEGREE C  ",2
683,"170726154248","Time",0
684,.152,"mS        ",1
685,12.2,"DEGREE C  ",2
686,"170726154250","Time",0
687,.152,"mS        ",1
688,12.1,"DEGREE C  ",2
689,"170726154252","Time",0
690,.152,"mS        ",1
691,12.2,"DEGREE C  ",2
692,"170726154254","Time",0
693,.152,"mS        ",1
694,12.1,"DEGREE C  ",2
695,"170726154256","Time",0
696,.152,"mS        ",1
697,12.2,"DEGREE C  ",2
698,"170726154258","Time",0
699,.152,"mS        ",1
700,12.2,"DEGREE C  ",2
701,"170726154300","Time",0
702,.152,"mS        ",1
703,12.2,"DEGREE C  ",2
704,"170726154302","Time",0
705,.152,"mS        ",1
706,12.2,"DEGREE C  ",2
707,"170726154304","Time",0
708,.152,"mS        ",1
709,12.2,"DEGREE C  ",2
710,"170726154306","Time",0
711,.152,"mS        ",1
712,12.2,"DEGREE C  ",2
713,"170726154308","Time",0
714,.152,"mS        ",1
715,12.2,"DEGREE C  ",2
716,"170726154310","Time",0
717,.152,"mS        ",1
718,12.2,"DEGREE C  ",2
719,"170726154312","Time",0
720,.151,"mS        ",1
721,12.2,"DEGREE C  ",2
722,"170726154314","Time",0
723,.151,"mS        ",1
724,12.2,"DEGREE C  ",2
725,"170726154316","Time",0
726,.151,"mS        ",1
727,12.2,"DEGREE C  ",2
728,"170726154318","Time",0
729,.151,"mS        ",1
730,12.2,"DEGREE C  ",2
731,"170726154320","Time",0
732,.151,"mS        ",1
733,12.2,"DEGREE C  ",2
734,"170726154322","Time",0
735,.151,"mS        ",1
736,12.2,"DEGREE C  ",2
737,"170726154324","Time",0
738,.151,"mS        ",1
739,12.2,"DEGREE C  ",2
740,"170726154326","Time",0
741,.151,"mS        ",1
742,12.2,"DEGREE C  ",2
743,"170726154328","Time",0
744,.151,"mS        ",1
745,12.2,"DEGREE C  ",2
746,"170726154330","Time",0
747,.15,"mS        ",1
748,12.2,"DEGREE C  ",2
749,"170726154332","Time",0
750,.15,"mS        ",1
751,12.2,"DEGREE C  ",2
752,"170726154334","Time",0
753,.15,"mS        ",1
754,12.2,"DEGREE C  ",2
755,"170726154336","Time",0
756,.15,"mS        ",1
757,12.2,"DEGREE C  ",2
758,"170726154338","Time",0
759,.15,"mS        ",1
760,12.2,"DEGREE C  ",2
761,"170726154340","Time",0
762,.15,"mS        ",1
763,12.2,"DEGREE C  ",2
764,"170726154342","Time",0
765,.15,"mS        ",1
766,12.2,"DEGREE C  ",2
767,"170726154344","Time",0
768,.15,"mS        ",1
769,12.2,"DEGREE C  ",2
770,"170726154346","Time",0
771,.15,"mS        ",1
772,12.2,"DEGREE C  ",2
773,"170726154348","Time",0
774,.15,"mS        ",1
775,12.2,"DEGREE C  ",2
776,"170726154350","Time",0
777,.15,"mS        ",1
778,12.2,"DEGREE C  ",2
779,"170726154352","Time",0
780,.15,"mS        ",1
781,12.2,"DEGREE C  ",2
782,"170726154354","Time",0
783,.15,"mS        ",1
784,12.2,"DEGREE C  ",2
785,"170726154356","Time",0
786,.15,"mS        ",1
787,12.2,"DEGREE C  ",2
788,"170726154358","Time",0
789,.15,"mS        ",1
790,12.2,"DEGREE C  ",2
791,"170726154400","Time",0
792,.15,"mS        ",1
793,12.1,"DEGREE C  ",2
794,"170726154402","Time",0
795,.15,"mS        ",1
796,12.1,"DEGREE C  ",2
797,"170726154404","Time",0
798,.15,"mS        ",1
799,12.1,"DEGREE C  ",2
800,"170726154406","Time",0
801,.15,"mS        ",1
802,12.1,"DEGREE C  ",2
803,"170726154408","Time",0
804,.15,"mS        ",1
805,12.1,"DEGREE C  ",2
