Date and Time,Seconds     ,Pressure (PSI)                ,Temperature (C)               ,
9/20/2016 2:45:00 AM  ,  121500.000,                        11.327,                         8.509,
9/20/2016 3:00:00 AM  ,  122400.000,                        11.323,                         8.457,
9/20/2016 3:15:00 AM  ,  123300.000,                        11.325,                         8.457,
9/20/2016 3:30:00 AM  ,  124200.000,                        11.327,                         8.457,
9/20/2016 3:45:00 AM  ,  125100.000,                        11.331,                         8.457,
9/20/2016 4:00:00 AM  ,  126000.000,                        11.328,                         8.405,
9/20/2016 4:15:00 AM  ,  126900.000,                        11.327,                         8.405,
9/20/2016 4:30:00 AM  ,  127800.000,                        11.335,                         8.405,
9/20/2016 4:45:00 AM  ,  128700.000,                        11.335,                         8.405,
9/20/2016 5:00:00 AM  ,  129600.000,                        11.333,                         8.352,
9/20/2016 5:15:00 AM  ,  130500.000,                        11.337,                         8.405,
9/20/2016 5:30:00 AM  ,  131400.000,                        11.337,                         8.352,
9/20/2016 5:45:00 AM  ,  132300.000,                        11.337,                         8.405,
9/20/2016 6:00:00 AM  ,  133200.000,                        11.337,                         8.352,
9/20/2016 6:15:00 AM  ,  134100.000,                        11.342,                         8.352,
9/20/2016 6:30:00 AM  ,  135000.000,                        11.341,                         8.352,
9/20/2016 6:45:00 AM  ,  135900.000,                        11.341,                         8.352,
9/20/2016 7:00:00 AM  ,  136800.000,                        11.342,                         8.352,
9/20/2016 7:15:00 AM  ,  137700.000,                        11.345,                         8.405,
9/20/2016 7:30:00 AM  ,  138600.000,                        11.346,                         8.405,
9/20/2016 7:45:00 AM  ,  139500.000,                        11.350,                         8.405,
9/20/2016 8:00:00 AM  ,  140400.000,                        11.348,                         8.457,
9/20/2016 8:15:00 AM  ,  141300.000,                        11.349,                         8.509,
9/20/2016 8:30:00 AM  ,  142200.000,                        11.349,                         8.561,
9/20/2016 8:45:00 AM  ,  143100.000,                        11.343,                         8.665,
9/20/2016 9:00:00 AM  ,  144000.000,                        11.343,                         8.717,
9/20/2016 9:15:00 AM  ,  144900.000,                        11.340,                         8.821,
9/20/2016 9:30:00 AM  ,  145800.000,                        11.342,                         8.873,
9/20/2016 9:45:00 AM  ,  146700.000,                        11.342,                         8.924,
9/20/2016 10:00:00 AM ,  147600.000,                        11.344,                         8.976,
9/20/2016 10:15:00 AM ,  148500.000,                        11.341,                         9.080,
